year,loss_percentage,activity,food_supply_stage,cause_of_loss
2021,4.55,"Drying, Harvesting",Harvest,
2021,2.16667,Transportation,Farm,
2021,3.6,"Shelling, Threshing",,
2021,2,"Shelling, Threshing",,
2021,3.5,"Drying, Harvesting",Harvest,
2021,2.5,Transportation,Farm,
2021,1.175,Storage,Farm,
2021,2.5,Winnowing,Farm,
2010,6,Milling,Processing,
2010,6,Storage,Storage,
2010,1.5,Drying,Farm,
2010,1.5,Parboiling,Processing,
2005,16,,Farm,Hot Weather During Harvest And Post Packaging
2005,19,,Farm,Hot Weather During Harvest And Post Packaging
2005,24.5,,Post-harvest,Hot Weather During Harvest And Post Packaging
2005,22,,Post-harvest,Hot Weather During Harvest And Post Packaging
2006,4,Farm,Farm,
2006,5,Retailing,Retail,
2006,4,Wholesale,Wholesale,
2006,4,Farm,Farm,
2006,5,Retailing,Retail,
2006,6,Wholesale,Wholesale,
2006,3,Farm,Farm,
2006,3,Collection,Trader,
2006,5,Retailing,Retail,
2006,3,Collection,Trader,
2006,4,Wholesale,Wholesale,
2006,3,Collection,Trader,
2006,4,Retailing,Retail,
2006,4,Collection,Trader,
2006,4,Retailing,Retail,
2006,5,Farm,Farm,
2006,4,Collection,Trader,
2006,4,Wholesale,Wholesale,
2006,5,Retailing,Retail,
2006,5,Collection,Trader,
2006,9,Farm,Farm,
2006,5,Wholesale,Wholesale,
2006,4,Wholesale,Wholesale,
2006,5,Farm,Farm,
2006,7,Wholesale,Wholesale,
2006,1,Collection,Trader,
2006,6,Farm,Farm,
2006,8,Wholesale,Wholesale,
2006,6,Retailing,Retail,
2006,5,Retailing,Retail,
2006,4,Wholesale,Wholesale,
2006,6,Farm,Farm,
2006,2,Collection,Trader,
2006,13,Farm,Farm,
2006,2,Collection,Trader,
2006,5,Retailing,Retail,
2008,16.4,,Whole supply chain,
2008,19.7,,Whole supply chain,
2008,24.6,,Whole supply chain,
2008,21.8,,Whole supply chain,
2013,12.5,,Farm,Immaturity Insect Damage Rotting/Decay
2013,3.5,,Retail,Rotting/Decay Over-Ripening
2013,3.5,,Wholesale,Physical Damage Rotting/Decay
2013,3.5,,Trader,Physical Damage Rotting/Decay
2015,24.6,,Post-harvest,
2015,21.8,,Post-harvest,
1991,10,,Whole supply chain,
2005,25,,Whole supply chain,
2000,4,Drying,Farm,
2000,1.32,"Shelling, Threshing",,
2000,2.38101,Transportation,Farm,
2000,4.95615,Storage,Farm,
2000,6.42,"Drying, Harvesting",Harvest,
2000,1.25,Transportation,Farm,
2000,4.40333,"Drying, Harvesting",Harvest,
2000,2.5,Winnowing,Farm,
2000,3.13714,"Shelling, Threshing",,
2000,0.411918,Storage,Farm,
2000,2,"Shelling, Threshing",,
2000,3.5,"Drying, Harvesting",Harvest,
2000,0.737475,Storage,Farm,
2000,0.896627,Winnowing,Farm,
2000,2.5,Transportation,Farm,
2001,4,Drying,Farm,
2001,1.32,"Shelling, Threshing",,
2001,6.42,"Drying, Harvesting",Harvest,
2001,2.38132,Transportation,Farm,
2001,4.9408,Storage,Farm,
2001,1.25,Transportation,Farm,
2001,3.13714,"Shelling, Threshing",,
2001,0.511016,Storage,Farm,
2001,2.5,Winnowing,Farm,
2001,4.40333,"Drying, Harvesting",Harvest,
2001,0.679853,Storage,Farm,
2001,0.708707,Winnowing,Farm,
2001,2.5,Transportation,Farm,
2001,3.5,"Drying, Harvesting",Harvest,
2001,2,"Shelling, Threshing",,
2002,2.38101,Transportation,Farm,
2002,6.42,"Drying, Harvesting",Harvest,
2002,4,Drying,Farm,
2002,4.95618,Storage,Farm,
2002,1.32,"Shelling, Threshing",,
2002,1.25,Transportation,Farm,
2002,2.5,Winnowing,Farm,
2002,4.40333,"Drying, Harvesting",Harvest,
2002,0.414342,Storage,Farm,
2002,3.13714,"Shelling, Threshing",,
2002,0.745252,Storage,Farm,
2002,3.5,"Drying, Harvesting",Harvest,
2002,2,"Shelling, Threshing",,
2002,0.925675,Winnowing,Farm,
2002,2.5,Transportation,Farm,
2003,1.32,"Shelling, Threshing",,
2003,2.38101,Transportation,Farm,
2003,6.42,"Drying, Harvesting",Harvest,
2003,4,Drying,Farm,
2003,4.95618,Storage,Farm,
2003,3.13714,"Shelling, Threshing",,
2003,0.413412,Storage,Farm,
2003,2.5,Winnowing,Farm,
2003,4.40333,"Drying, Harvesting",Harvest,
2003,1.25,Transportation,Farm,
2003,2.5,Transportation,Farm,
2003,3.5,"Drying, Harvesting",Harvest,
2003,0.745252,Storage,Farm,
2003,0.925671,Winnowing,Farm,
2003,2,"Shelling, Threshing",,
2004,1.32,"Shelling, Threshing",,
2004,2.38101,Transportation,Farm,
2004,6.42,"Drying, Harvesting",Harvest,
2004,4.95617,Storage,Farm,
2004,4,Drying,Farm,
2004,0.412482,Storage,Farm,
2004,3.13714,"Shelling, Threshing",,
2004,4.40333,"Drying, Harvesting",Harvest,
2004,1.25,Transportation,Farm,
2004,2.5,Winnowing,Farm,
2004,2.5,Transportation,Farm,
2004,3.5,"Drying, Harvesting",Harvest,
2004,2,"Shelling, Threshing",,
2004,0.745252,Storage,Farm,
2004,0.925675,Winnowing,Farm,
2005,2.38329,Transportation,Farm,
2005,6.42,"Drying, Harvesting",Harvest,
2005,4.91521,Storage,Farm,
2005,1.32,"Shelling, Threshing",,
2005,4,Drying,Farm,
2005,1.25,Transportation,Farm,
2005,4.40333,"Drying, Harvesting",Harvest,
2005,0.399599,Storage,Farm,
2005,3.13714,"Shelling, Threshing",,
2005,2.5,Winnowing,Farm,
2005,2.5,Transportation,Farm,
2005,0.737625,Storage,Farm,
2005,3.5,"Drying, Harvesting",Harvest,
2005,2,"Shelling, Threshing",,
2005,0.907078,Winnowing,Farm,
2006,6.42,"Drying, Harvesting",Harvest,
2006,4,Drying,Farm,
2006,1.32,"Shelling, Threshing",,
2006,4.91726,Storage,Farm,
2006,2.38303,Transportation,Farm,
2006,3.13714,"Shelling, Threshing",,
2006,0.405337,Storage,Farm,
2006,2.5,Winnowing,Farm,
2006,4.40333,"Drying, Harvesting",Harvest,
2006,1.25,Transportation,Farm,
2006,0.736687,Storage,Farm,
2006,2.5,Transportation,Farm,
2006,2,"Shelling, Threshing",,
2006,3.5,"Drying, Harvesting",Harvest,
2006,0.902403,Winnowing,Farm,
2007,6.42,"Drying, Harvesting",Harvest,
2007,4.91562,Storage,Farm,
2007,4,Drying,Farm,
2007,1.32,"Shelling, Threshing",,
2007,2.38321,Transportation,Farm,
2007,4.40333,"Drying, Harvesting",Harvest,
2007,0.40495,Storage,Farm,
2007,3.13714,"Shelling, Threshing",,
2007,2.5,Winnowing,Farm,
2007,1.25,Transportation,Farm,
2007,0.739553,Storage,Farm,
2007,3.5,"Drying, Harvesting",Harvest,
2007,2,"Shelling, Threshing",,
2007,0.905742,Winnowing,Farm,
2007,2.5,Transportation,Farm,
2008,6.42,"Drying, Harvesting",Harvest,
2008,2.38369,Transportation,Farm,
2008,9.81279,Storage,Farm,
2008,4,Drying,Farm,
2008,1.32,"Shelling, Threshing",,
2008,0.404665,Storage,Farm,
2008,3.13714,"Shelling, Threshing",,
2008,1.25,Transportation,Farm,
2008,2.5,Winnowing,Farm,
2008,4.40333,"Drying, Harvesting",Harvest,
2008,2,"Shelling, Threshing",,
2008,3.5,"Drying, Harvesting",Harvest,
2008,0.752313,Storage,Farm,
2008,2.5,Transportation,Farm,
2008,0.956864,Winnowing,Farm,
2009,1.32,"Shelling, Threshing",,
2009,6.42,"Drying, Harvesting",Harvest,
2009,2.38176,Transportation,Farm,
2009,4,Drying,Farm,
2009,9.87419,Storage,Farm,
2009,4.40333,"Drying, Harvesting",Harvest,
2009,3.13714,"Shelling, Threshing",,
2009,2.5,Winnowing,Farm,
2009,1.25,Transportation,Farm,
2009,0.360946,Storage,Farm,
2009,2.5,Transportation,Farm,
2009,2,"Shelling, Threshing",,
2009,0.873025,Winnowing,Farm,
2009,0.729799,Storage,Farm,
2009,3.5,"Drying, Harvesting",Harvest,
2010,6.42,"Drying, Harvesting",Harvest,
2010,2.38209,Transportation,Farm,
2010,4,Drying,Farm,
